util_type,symbol,id,candle_time,action,price,stop_loss,target_price,current_price,exit_price,pnl,status,executed_at,exchange_mode
ACTIVE,NTPC_POWERGRID,1,24-07-2025 13:10,BUY,-5.37163,-10.17,-0.58,-0.5666,,54807.3,active,24-07-2025 13:10,nse
ACTIVE,SBILIFE_HDFCLIFE,2,24-07-2025 15:25,SELL,25.11338,51.74,-1.51,54.25279,,-66167.1,active,24-07-2025 15:25,nse
ACTIVE,INFY_WIPRO,3,25-07-2025 14:15,BUY,-19.90997,-38.1,-1.72,4.03888,,63858.1,active,25-07-2025 14:15,nse
ACTIVE,BAJFINANCE_BAJAJFINSV,4,28-07-2025 09:30,BUY,-33.4044,-49.34,-17.47,-15.76931,,32486.0,active,28-07-2025 09:30,nse
ACTIVE,ULTRACEMCO_SHREECEM,5,28-07-2025 15:25,SELL,177.71841,338.79,16.65,16.20185,,5050.1,active,28-07-2025 15:25,nse
ACTIVE,HINDUNILVR_BRITANNIA,6,29-07-2025 10:05,SELL,29.93162,59.89,-0.03,12.65637,,22223.2,active,29-07-2025 10:05,nse
