util_type,symbol,id,candle_time,action,price,stop_loss,target_price,current_price,exit_price,pnl,status,executed_at,exchange_mode
TRADE_HISTORY,IOC_BPCL,58,26-04-2024 11:24,BUY,-1.88511,-3.73,-0.04,,0.48743,58531.8,target_hit,29-04-2024 09:29,nse
TRADE_HISTORY,NTPC_POWERGRID,59,29-04-2024 13:14,SELL,6.74437,13.23,0.26,,-0.02438,50743.7,target_hit,30-04-2024 10:09,nse
TRADE_HISTORY,IOC_BPCL,60,30-04-2024 09:19,SELL,2.28076,4.23,0.33,,-0.10477,65966.5,target_hit,30-04-2024 10:24,nse
TRADE_HISTORY,IOC_BPCL,61,30-04-2024 14:39,BUY,-2.08803,-4.05,-0.12,,-4.06509,-69376.5,stop_loss_hit,30-04-2024 15:14,nse
TRADE_HISTORY,IOC_BPCL,62,30-04-2024 15:19,BUY,-4.12853,-6.14,-2.11,,-6.28222,-79048.8,stop_loss_hit,02-05-2024 09:19,nse
TRADE_HISTORY,IOC_BPCL,63,02-05-2024 09:24,BUY,-6.3582,-8.5,-4.22,,-1.42475,13121.0,target_hit,02-05-2024 09:34,nse
TRADE_HISTORY,NTPC_POWERGRID,64,02-05-2024 09:29,BUY,-10.82692,-17.74,-3.91,,-2.34675,-30279.6,target_hit,02-05-2024 10:49,nse
TRADE_HISTORY,NTPC_POWERGRID,65,03-05-2024 09:19,SELL,9.50272,16.81,2.2,,2.00987,47105.1,target_hit,03-05-2024 10:14,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,66,03-05-2024 09:29,SELL,92.99362,176.89,9.09,,214.77136,-88438.9,stop_loss_hit,03-05-2024 09:39,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,67,03-05-2024 09:44,SELL,177.47005,261.59,93.35,,63.90506,28737.1,target_hit,03-05-2024 10:49,nse
TRADE_HISTORY,TCS_WIPRO,68,06-05-2024 10:14,SELL,70.956,135.93,5.98,,4.82128,-15913.3,target_hit,07-05-2024 14:14,nse
TRADE_HISTORY,IOC_BPCL,69,07-05-2024 09:19,BUY,-2.18514,-4.18,-0.19,,-0.18053,-54363.9,target_hit,07-05-2024 13:49,nse
TRADE_HISTORY,IOC_BPCL,70,10-05-2024 09:19,BUY,-2.27624,-4.29,-0.26,,-0.08186,-44436.7,target_hit,10-05-2024 11:59,nse
TRADE_HISTORY,HINDUNILVR_DABUR,71,10-05-2024 09:19,SELL,55.51496,87.69,23.34,,22.15139,21443.8,target_hit,10-05-2024 11:04,nse
TRADE_HISTORY,IOC_BPCL,72,13-05-2024 09:29,SELL,2.53974,4.61,0.47,,0.35926,13118.2,target_hit,13-05-2024 11:14,nse
TRADE_HISTORY,TCS_WIPRO,73,13-05-2024 09:54,SELL,70.94682,133.98,7.91,,5.87002,36951.6,target_hit,14-05-2024 09:19,nse
TRADE_HISTORY,HINDUNILVR_DABUR,74,13-05-2024 10:29,SELL,33.66609,68.84,-1.51,,-4.55512,56263.9,target_hit,13-05-2024 11:44,nse
TRADE_HISTORY,NTPC_POWERGRID,75,13-05-2024 14:54,BUY,-7.81936,-14.62,-1.02,,-0.89236,10881.4,target_hit,14-05-2024 15:04,nse
TRADE_HISTORY,HINDUNILVR_DABUR,76,14-05-2024 13:24,BUY,-38.17744,-73.64,-2.71,,-2.51189,46177.1,target_hit,14-05-2024 15:24,nse
